,Rank,Song,Artist,Album,Release Date,Popularity,Duration (ms),Explicit,Track ID,Preview URL,Track Number,Continent,Country,Artist Photo URL
371,22,Vacile,Yan Block,Vacile,2022-09-30,78,140239,True,0w0e3Te2Rd4t8gGKi3sU6a,https://p.scdn.co/mp3-preview/5894f3115ebf6f30c07bb86fe853230cd5b6cf2f?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f1783db7059916f39a79daa771dd
372,23,OTRA NOCHE (feat. Darell),Myke Towers,LA PANTERA NEGRA,2024-08-22,72,224120,True,0dLdTvslcZVsncSMyVvP7n,https://p.scdn.co/mp3-preview/c0a02811e7a51e68f5af548f6536a8ac77095cd4?cid=0bb3eb6005f44507983d0b4982473814,12,Europe,Spain,https://i.scdn.co/image/ab6761610000f1788372345609bebaf1e948ef7f
373,24,DIABLA,Los Diozes,HOTEL MALIGNO,2024-10-17,63,217945,True,00EWeXw1RLUwCMw8pxtXAE,https://p.scdn.co/mp3-preview/fd410497308949aa72d38b98ac9b29ef479aaf79?cid=0bb3eb6005f44507983d0b4982473814,2,Europe,Spain,https://i.scdn.co/image/ab6761610000f178600f6305e789be640360a4c5
374,25,La Bachata,Manuel Turizo,2000,2023-03-17,83,162637,False,3tt9i3Hhzq84dPS8H7iSiJ,https://p.scdn.co/mp3-preview/0232b53fd7849e6696e1ab3099dd01dd00823f17?cid=0bb3eb6005f44507983d0b4982473814,9,Europe,Spain,https://i.scdn.co/image/ab6761610000f178cc91276af455a0fbc0ac56d0
375,26,BADGYAL,SAIKO,SAKURA,2024-04-26,75,253962,True,3ng8tfwvzR4BBwa9yaMms6,https://p.scdn.co/mp3-preview/a597d487ae8c66e58661a06e20acc7bb4797cee0?cid=0bb3eb6005f44507983d0b4982473814,13,Europe,Spain,https://i.scdn.co/image/ab6761610000f178d3ac55d0cfd372835c182d33
376,27,Goteras,Omar Montes,Goteras,2024-06-27,74,216450,False,4sykJxUsqdXZRqRv1J9fEQ,https://p.scdn.co/mp3-preview/fa14057dc9a1dfcdd11c120f1a52f670ab438e41?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f17890559d5942b29317110bd5be
377,28,X'CLUSIVO - REMIX,Gonzy,THE WORLD IS YOURS,2024-10-11,60,208133,True,5orb2qBX5ISKtsSy20v8SK,,18,Europe,Spain,https://i.scdn.co/image/ab6761610000f1783666f113da037b3009c72f6c
378,29,No Has Cambiado,Baby Rasta,No Has Cambiado,2024-10-03,70,276404,True,4rUuiCQ8mOiZjjXEOHfZyx,https://p.scdn.co/mp3-preview/af60a045755cbd2482a3f6b2957bdacbe1eb431f?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f17818f9c5cb23e65bd55af69f24
379,30,Lo Que Tiene,Morad,Lo Que Tiene,2024-03-08,75,259200,False,6RqD0fpAaKEZvQd0QrTj7j,https://p.scdn.co/mp3-preview/644997bbd24cea6833265f5d320e6a56c82d7f58?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f17878be1444357da95706de5d12
380,31,Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16,100,251667,False,2plbrEY59IikOBgBGLjaoe,,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f1784b09cd0839c6129c29d22f79
381,32,El Merengue,Marshmello,Sugar Papi,2023-11-03,80,189668,False,5KbBVSj6AJZ5662fO8EYFh,https://p.scdn.co/mp3-preview/8f85a757be0d6acb90a870442608a2bc0efe5860?cid=0bb3eb6005f44507983d0b4982473814,3,Europe,Spain,https://i.scdn.co/image/ab6761610000f17869b18a96278c204074a6f265
382,33,ADIVINO,Myke Towers,LA PANTERA NEGRA,2024-08-22,75,278644,True,0eeX8L0DWvGth1F6xVkvv7,https://p.scdn.co/mp3-preview/9342664668742f1fdf59b7beee2b54dc8fecaada?cid=0bb3eb6005f44507983d0b4982473814,19,Europe,Spain,https://i.scdn.co/image/ab6761610000f1788372345609bebaf1e948ef7f
383,34,LA FALDA,Myke Towers,LVEU: VIVE LA TUYA...NO LA MIA,2023-09-18,83,174229,True,7iUtQNMRB8ZkKC4AmEuCJC,https://p.scdn.co/mp3-preview/e198a3f9d177f1981f2952cfbda81560560e6a68?cid=0bb3eb6005f44507983d0b4982473814,2,Europe,Spain,https://i.scdn.co/image/ab6761610000f1788372345609bebaf1e948ef7f
384,35,Conexión,Cano,Triana,2024-10-24,46,188160,False,2znYZuZsjd52WgMkp6iVwL,https://p.scdn.co/mp3-preview/396a71cc585cac99e6a4f26c18de4a7476390042?cid=0bb3eb6005f44507983d0b4982473814,4,Europe,Spain,https://i.scdn.co/image/ab6761610000f17871fd959f71fb0c17407bdfb3
385,36,1000COSAS,Lola Indigo,1000COSAS,2024-03-07,72,239482,False,6xqQDwzjswlToEEHgvA3KM,,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f178353b0a0a9e686acbd382e1ea
386,37,Después De La 1,Cris Mj,MJ,2024-09-12,87,177600,True,6PhRhocBXP4y7NpciGmzra,https://p.scdn.co/mp3-preview/224546a0e2a7caf08110e14e491a3e7c569a08bf?cid=0bb3eb6005f44507983d0b4982473814,2,Europe,Spain,https://i.scdn.co/image/ab6761610000f1788ec5f4d4241631f8593f52c1
387,38,CARITA TRISTE,Ana Mena,CARITA TRISTE,2024-08-30,76,175296,False,2mYlSgPvC5Np4mDg9DU5Mc,https://p.scdn.co/mp3-preview/348d0217a1c3becd19fd0f24eb9fd809fb174b27?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f178d9896c0931160e24328f2f5c
388,39,SE ME OLVIDA,Maisak,SE ME OLVIDA,2024-08-23,85,225373,True,2gmd7lY3QSzLh0xIY4cRvi,,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f178d56e2f613c3a347af6b68c6c
389,40,Besitos BB 2.0,El Perla,Besitos BB 2.0,2024-10-09,67,233693,True,6A3siPf4AgV5jfZua1zHgZ,https://p.scdn.co/mp3-preview/3686797f2deda7c44c235ceabd1428006b14b1bb?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f1784d4f5a5cb0d933422e71e01d
390,41,Manos Rotas,DELLAFUENTE,Manos Rotas,2023-11-16,72,168594,False,3BFh8rR6aMexy7ELu2UQy3,https://p.scdn.co/mp3-preview/e48f328f0238419f519d6007aeb2c89317298b39?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f1788bbfd0d545ef15b909ffe49e
391,42,APT.,ROSÉ,APT.,2024-10-18,94,169917,False,5vNRhkKd0yEAg8suGBpjeY,https://p.scdn.co/mp3-preview/6b7763066dd42d94dc893f12bb135d7d5392e386?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f178727a1f1f508238a20ac9fdbf
392,43,REAL GANGSTA LOVE,Trueno,EL ÚLTIMO BAILE,2024-05-23,84,145342,True,1pymWRCuZfCd0zdiBJo0Hj,https://p.scdn.co/mp3-preview/2f10aa6bf08d7c4b1a7737c3accb9b738f885c73?cid=0bb3eb6005f44507983d0b4982473814,8,Europe,Spain,https://i.scdn.co/image/ab6761610000f178c6f1d44557a4c7fe7518f29a
393,44,YOTULOKO,Omar Montes,YOTULOKO,2024-07-11,73,213699,False,49kkoKoXAnjNRlxot1ZnlW,https://p.scdn.co/mp3-preview/82bc8dba53ace6c50688e9c5ead7b4fa46abfc96?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f17890559d5942b29317110bd5be
394,45,La Rizos [Dime Si Le Comento a la Pura],Las 2K,La Rizos [Dime Si Le Comento a la Pura],2024-06-17,72,218119,False,7pvqkMcGzRTWU0YpZoJj6U,https://p.scdn.co/mp3-preview/70ba73b30d5462e61633bcfeac4fefc383e4f731?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f178a7eec6ea1cfec4b27fcb64c4
395,46,EROTICAAAAAAA,Gonzy,THE WORLD IS YOURS,2024-10-11,62,169666,True,6x38KcIs0tsw3ZzvBfLxOa,,6,Europe,Spain,https://i.scdn.co/image/ab6761610000f1783666f113da037b3009c72f6c
396,47,AMARGURA,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,85,170480,True,505v13epFXodT9fVAJ6h8k,,15,Europe,Spain,https://i.scdn.co/image/ab6761610000f1784b0754aefc9db490e02205ec
397,48,WYA REMIX RED,J Abdiel,WYA REMIX RED,2024-05-10,82,321741,True,4YnmQG1fnJR9LnTZtix70T,https://p.scdn.co/mp3-preview/5421a5574c5b523ca0df61f748d05d7e60dcac11?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f178a074af87ca30be00bab3bcc6
398,49,El Fin del Mundo,La La Love You,La la Love You Bonus,2020-12-11,68,188093,False,70JnnNNAxPjvZGPwjJfX47,https://p.scdn.co/mp3-preview/c9610d833cb201887e9cb36d1687ad0c63141bdc?cid=0bb3eb6005f44507983d0b4982473814,15,Europe,Spain,https://i.scdn.co/image/ab6761610000f178bd895e6c33ff061583e4c258
399,50,Martini,Dei V,Quién es Dei V?,2024-06-14,72,164365,True,6opCVD6WJNDyBAxvrzKLnH,https://p.scdn.co/mp3-preview/f182e5bd7922356af989b674514699876ec3ec06?cid=0bb3eb6005f44507983d0b4982473814,11,Europe,Spain,https://i.scdn.co/image/ab6761610000f178c37ea490563bfe14de707f18
400,1,The Emptiness Machine,Linkin Park,The Emptiness Machine,2024-09-05,91,190427,True,2PnlsTsOTLE5jnBnNe2K0A,https://p.scdn.co/mp3-preview/da0ba69b4a12ca15f412b52c249ee6ac1c148ac2?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Germany,https://i.scdn.co/image/ab6761610000f178c7e6bd9e65eab62a53355576
401,2,It Girl (feat. Sampagne),Shirin David,It Girl (feat. Sampagne),2024-10-24,65,143622,True,2byoNXF9Y6qhIGBq33ATEm,,1,Europe,Germany,https://i.scdn.co/image/ab6761610000f178dff9bd0fcf6ce5fd68f9d9a7
402,3,HDL,LACAZETTE,HDL,2024-10-18,72,145624,True,3SYHVGpbPQ8sPCRosoA9Wy,https://p.scdn.co/mp3-preview/434dc3e24b5e853515a83b04d97e19a921c57fde?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Germany,https://i.scdn.co/image/ab6761610000f178fc0f1f9a5efb4cdd6a521261
403,4,LID,LACAZETTE,LID,2024-09-27,77,144516,True,5U8jvRKKzcc3XjBB2CNZaZ,https://p.scdn.co/mp3-preview/06ca301d5d491aad35229888886fe4c61cd26821?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Germany,https://i.scdn.co/image/ab6761610000f178fc0f1f9a5efb4cdd6a521261
404,5,PLAYBOYBUNNIES,Jazeek,PLAYBOYBUNNIES,2024-10-04,75,147169,True,77p59nG1oU5pzd20rPxBwC,,1,Europe,Germany,https://i.scdn.co/image/ab6761610000f178e758a2bb3f93d7740556eb3c
405,6,früher sterben,Bonez MC,früher sterben,2024-10-24,62,159017,True,2wpId6tH11xC1bYCqkPY9j,,1,Europe,Germany,https://i.scdn.co/image/ab6761610000f17869ec8b82da6767a58307a046
406,7,Bauch Beine Po,Shirin David,Bauch Beine Po,2024-07-25,77,133932,True,64f3yNXsi2Vk76odcHCOnw,,1,Europe,Germany,https://i.scdn.co/image/ab6761610000f178dff9bd0fcf6ce5fd68f9d9a7
